Object Type,Property,Name,English [en-US],Spanish [es-ES]
Column,Caption,KAT_CUENTAS[DS_DIGITO_CONTROL],DS_DIGITO_CONTROL,DS_DIGITO_CONTROL
Column,Caption,KAT_CUENTAS[DS_CODIGO_CUENTA],DS_CODIGO_CUENTA,DS_CODIGO_CUENTA
Column,Caption,KAT_CUENTAS[DS_CODIGO_INTERNACIONAL],DS_CODIGO_INTERNACIONAL,DS_CODIGO_INTERNACIONAL
Column,Caption,KAT_CUENTAS[DS_IBAN],DS_IBAN,DS_IBAN
Column,Caption,KAT_CUENTAS[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,KAT_CUENTAS[CD_DIVISA],CD_DIVISA,CD_DIVISA
Column,Caption,KAT_CUENTAS[CD_EMPRESA],CD_EMPRESA,CD_EMPRESA
Column,Caption,KAT_CUENTAS[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,KAT_CUENTAS[IT_ACTIVA],IT_ACTIVA,IT_ACTIVA
Column,Caption,KAT_CUENTAS[FC_INACTIVA],FC_INACTIVA,FC_INACTIVA
Column,Caption,KAT_CUENTAS[DS_CUENTA_CONTABLE_ERP],DS_CUENTA_CONTABLE_ERP,DS_CUENTA_CONTABLE_ERP
Column,Caption,KAT_CUENTAS[DS_OBSERVACIONES],DS_OBSERVACIONES,DS_OBSERVACIONES
Column,Caption,KAT_CUENTAS[DS_APODERADOS],DS_APODERADOS,DS_APODERADOS
Column,Caption,KAT_CUENTAS[NM_SALDO_ERP],NM_SALDO_ERP,NM_SALDO_ERP
Column,Caption,KAT_CUENTAS[CD_MVTO_INICIAL],CD_MVTO_INICIAL,CD_MVTO_INICIAL
Column,Caption,KAT_CUENTAS[CD_MVTO_ULTIMO],CD_MVTO_ULTIMO,CD_MVTO_ULTIMO
Column,Caption,KAT_CUENTAS[CD_MVTO_ERP_INICIAL],CD_MVTO_ERP_INICIAL,CD_MVTO_ERP_INICIAL
Column,Caption,KAT_CUENTAS[CD_MVTO_ERP_ULTIMO],CD_MVTO_ERP_ULTIMO,CD_MVTO_ERP_ULTIMO
Column,Caption,KAT_CUENTAS[CD_GRUPO_CUENTA],CD_GRUPO_CUENTA,CD_GRUPO_CUENTA
Table,Caption,KAT_CONDICIONES_TRAMOS,KAT_CONDICIONES_TRAMOS,KAT_CONDICIONES_TRAMOS
Column,Caption,KAT_CONDICIONES_TRAMOS[CD_CONDICION_TRAMO],CD_CONDICION_TRAMO,CD_CONDICION_TRAMO
Column,Caption,KAT_CONDICIONES_TRAMOS[CD_CONDICION],CD_CONDICION,CD_CONDICION
Column,Caption,KAT_CONDICIONES_TRAMOS[CD_TRAMO],CD_TRAMO,CD_TRAMO
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_DESDE],NM_DESDE,NM_DESDE
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_HASTA],NM_HASTA,NM_HASTA
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_BASE],NM_BASE,NM_BASE
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_TIPO_FIJO],NM_TIPO_FIJO,NM_TIPO_FIJO
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_RETENCION],NM_RETENCION,NM_RETENCION
Column,Caption,KAT_CONDICIONES_TRAMOS[IT_VARIABLE],IT_VARIABLE,IT_VARIABLE
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_TIPO_INICIAL],NM_TIPO_INICIAL,NM_TIPO_INICIAL
Column,Caption,KAT_CONDICIONES_TRAMOS[NM_DIFERENCIAL],NM_DIFERENCIAL,NM_DIFERENCIAL
Column,Caption,KAT_CONDICIONES_TRAMOS[TASAS COMPLETAS],TASAS COMPLETAS,TASAS COMPLETAS
Table,Caption,Condiciones full,Condiciones full,Condiciones full
Column,Caption,Condiciones full[CD_CUENTA],CD_CUENTA,CD_CUENTA
Column,Caption,Condiciones full[DS_NOMBRE_CUENTA],DS_NOMBRE_CUENTA,DS_NOMBRE_CUENTA
Column,Caption,Condiciones full[CD_CUENTA_TIPO],CD_CUENTA_TIPO,CD_CUENTA_TIPO
Column,Caption,Condiciones full[DS_BANCO],DS_BANCO,DS_BANCO
Column,Caption,Condiciones full[DS_OFICINA],DS_OFICINA,DS_OFICINA
Column,Caption,Condiciones full[DS_DIGITO_CONTROL],DS_DIGITO_CONTROL,DS_DIGITO_CONTROL
Column,Caption,Condiciones full[DS_CODIGO_CUENTA],DS_CODIGO_CUENTA,DS_CODIGO_CUENTA
Column,Caption,Condiciones full[DS_CODIGO_INTERNACIONAL],DS_CODIGO_INTERNACIONAL,DS_CODIGO_INTERNACIONAL
Column,Caption,Condiciones full[DS_IBAN],DS_IBAN,DS_IBAN
Column,Caption,Condiciones full[CD_BANCO],CD_BANCO,CD_BANCO
Column,Caption,Condiciones full[CD_DIVISA],CD_DIVISA,CD_DIVISA
Column,Caption,Condiciones full[CD_EMPRESA],CD_EMPRESA,CD_EMPRESA
Column,Caption,Condiciones full[NM_SALDO],NM_SALDO,NM_SALDO
Column,Caption,Condiciones full[IT_ACTIVA],IT_ACTIVA,IT_ACTIVA
Column,Caption,Condiciones full[FC_INACTIVA],FC_INACTIVA,FC_INACTIVA
Column,Caption,Condiciones full[DS_CUENTA_CONTABLE_ERP],DS_CUENTA_CONTABLE_ERP,DS_CUENTA_CONTABLE_ERP
Column,Caption,Condiciones full[DS_OBSERVACIONES],DS_OBSERVACIONES,DS_OBSERVACIONES
Column,Caption,Condiciones full[DS_APODERADOS],DS_APODERADOS,DS_APODERADOS
Column,Caption,Condiciones full[NM_SALDO_ERP],NM_SALDO_ERP,NM_SALDO_ERP
Column,Caption,Condiciones full[CD_MVTO_INICIAL],CD_MVTO_INICIAL,CD_MVTO_INICIAL
Column,Caption,Condiciones full[CD_MVTO_ULTIMO],CD_MVTO_ULTIMO,CD_MVTO_ULTIMO
Column,Caption,Condiciones full[CD_MVTO_ERP_INICIAL],CD_MVTO_ERP_INICIAL,CD_MVTO_ERP_INICIAL
Column,Caption,Condiciones full[CD_MVTO_ERP_ULTIMO],CD_MVTO_ERP_ULTIMO,CD_MVTO_ERP_ULTIMO
Column,Caption,Condiciones full[CD_GRUPO_CUENTA],CD_GRUPO_CUENTA,CD_GRUPO_CUENTA
Column,Caption,Condiciones full[CD_CUENTA2],CD_CUENTA2,CD_CUENTA2
Column,Caption,Condiciones full[CD_CUENTA_ASOCIADA],CD_CUENTA_ASOCIADA,CD_CUENTA_ASOCIADA
Column,Caption,Condiciones full[CD_CONDICION],CD_CONDICION,CD_CONDICION
Column,Caption,Condiciones full[DS_CONDICION],DS_CONDICION,DS_CONDICION
Column,Caption,Condiciones full[CD_CUENTA3],CD_CUENTA3,CD_CUENTA3
Column,Caption,Condiciones full[FC_INICIO],FC_INICIO,FC_INICIO
Column,Caption,Condiciones full[FC_FIN],FC_FIN,FC_FIN
Column,Caption,Condiciones full[NM_LIMITE],NM_LIMITE,NM_LIMITE
Column,Caption,Condiciones full[CD_PERIODO_LIQUIDACION],CD_PERIODO_LIQUIDACION,CD_PERIODO_LIQUIDACION
Column,Caption,Condiciones full[CD_PERIODO_REVISION],CD_PERIODO_REVISION,CD_PERIODO_REVISION
Column,Caption,Condiciones full[FC_REVISION],FC_REVISION,FC_REVISION
